q1,q2,q3,q4,q5,q6,q7,fx,fy,fz
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.44519,-1.07192,-4.70157
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.44316,-1.07218,-4.70007
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.444,-1.07008,-4.69781
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.44403,-1.071,-4.69742
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.44565,-1.06635,-4.69913
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.44919,-1.06945,-4.69851
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.45347,-1.07085,-4.69522
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.4534,-1.07079,-4.70132
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.45138,-1.07102,-4.69975
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.44088,-1.07023,-4.70459
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.43895,-1.07236,-4.70293
2.71906,-0.0404472,-0.764211,0.0872631,-1.78446,0.0163912,0.0336176,1.43378,-1.07287,-4.70216
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.43169,-1.07293,-4.70053
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.43466,-1.07078,-4.69995
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.43777,-1.07061,-4.69932
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.4411,-1.07335,-4.69818
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.44125,-1.07534,-4.69813
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.43709,-1.07468,-4.69535
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.44309,-1.07314,-4.69354
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.43595,-1.07396,-4.69129
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.43495,-1.07407,-4.69362
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.43986,-1.07102,-4.69441
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.44086,-1.06974,-4.69846
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.43391,-1.07319,-4.70243
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.42849,-1.07163,-4.70164
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.41639,-1.07617,-4.69842
2.71907,-0.040443,-0.764218,0.0872524,-1.78446,0.0163848,0.0336208,1.41438,-1.0763,-4.69683
